Unnamed: 0,title,ingredients,directions,link,source,NER
100,Ratatouille,"['1 zucchini', '1 eggplant', '1 bell pepper', '200 g tomato sauce']","['Slice vegetables and layer in a baking dish.', 'Pour tomato sauce over and bake at 180°C for 40 minutes.', 'Serve warm.']",,Generated,"['zucchini', 'eggplant', 'bell pepper', 'tomato sauce']"
101,Avocado Toast,"['2 slices bread', '1 avocado', '10 g lemon juice', '5 g chili flakes']","['Toast bread slices.', 'Mash avocado with lemon juice and spread on toast.', 'Sprinkle with chili flakes and serve.']",,Generated,"['bread', 'avocado', 'lemon juice', 'chili flakes']"
102,Carrot Ginger Soup,"['500 g carrots', '1 liter vegetable stock', '10 g ginger', '200 ml cream']","['Cook carrots and ginger in vegetable stock until tender.', 'Blend until smooth and stir in cream.', 'Serve warm.']",,Generated,"['carrots', 'vegetable stock', 'ginger', 'cream']"
103,Coconut Curry Lentils,"['200 g lentils', '400 ml coconut milk', '50 g curry paste', '200 ml vegetable stock']","['Simmer lentils in vegetable stock until tender.', 'Stir in coconut milk and curry paste.', 'Cook for 10 minutes and serve.']",,Generated,"['lentils', 'coconut milk', 'curry paste', 'vegetable stock']"
104,Lemon Poppy Seed Muffins,"['200 g flour', '100 g sugar', '50 ml lemon juice', '10 g poppy seeds']","['Mix flour, sugar, lemon juice, and poppy seeds into a batter.', 'Bake at 180°C for 20 minutes.', 'Cool before serving.']",,Generated,"['flour', 'sugar', 'lemon juice', 'poppy seeds']"
105,Berry Smoothie Bowl,"['200 g mixed berries', '200 ml almond milk', '50 g granola', '10 g shredded coconut']","['Blend mixed berries and almond milk until smooth.', 'Pour into a bowl and top with granola and shredded coconut.', 'Serve immediately.']",,Generated,"['berries', 'almond milk', 'granola', 'shredded coconut']"
106,Baked Feta Pasta,"['200 g pasta', '200 g cherry tomatoes', '100 g feta cheese', '20 ml olive oil']","['Preheat oven to 200°C.', 'Place feta and cherry tomatoes in a baking dish and drizzle with olive oil.', 'Bake for 20 minutes, then mix with cooked pasta and serve.']",,Generated,"['pasta', 'cherry tomatoes', 'feta', 'olive oil']"
107,Chili Lime Grilled Corn,"['4 corn cobs', '10 ml lime juice', '10 g chili powder', '20 g grated Parmesan cheese']","['Grill corn until lightly charred.', 'Brush with lime juice and sprinkle with chili powder and Parmesan cheese.', 'Serve hot.']",,Generated,"['corn', 'lime juice', 'chili powder', 'Parmesan']"
108,Spinach Mushroom Omelette,"['3 eggs', '50 g spinach', '50 g mushrooms', '10 ml olive oil']","['Heat olive oil in a pan and sauté spinach and mushrooms.', 'Whisk eggs and pour over vegetables.', 'Cook until set and fold in half to serve.']",,Generated,"['eggs', 'spinach', 'mushrooms', 'olive oil']"
109,Tomato Basil Bruschetta,"['4 slices bread', '2 tomatoes', '10 g basil', '20 ml olive oil']","['Toast bread slices.', 'Top with diced tomatoes, chopped basil, and a drizzle of olive oil.', 'Serve immediately.']",,Generated,"['bread', 'tomatoes', 'basil', 'olive oil']"
110,Quinoa Chickpea Salad,"['200 g quinoa', '200 g canned chickpeas', '50 g cucumber', '10 ml lemon juice']","['Cook quinoa and cool.', 'Mix with chickpeas, diced cucumber, and lemon juice.', 'Serve chilled.']",,Generated,"['quinoa', 'chickpeas', 'cucumber', 'lemon juice']"
111,Mango Coconut Ice Cream,"['200 ml coconut milk', '100 g mango puree', '50 g sugar']","['Blend coconut milk, mango puree, and sugar.', 'Churn in an ice cream maker and freeze until firm.', 'Serve cold.']",,Generated,"['coconut milk', 'mango', 'sugar']"
112,Rosemary Lemon Chicken,"['4 chicken breasts', '10 g fresh rosemary', '20 ml lemon juice', '30 ml olive oil']","['Marinate chicken in rosemary, lemon juice, and olive oil for 30 minutes.', 'Bake at 180°C for 25 minutes.', 'Serve hot.']",,Generated,"['chicken', 'rosemary', 'lemon juice', 'olive oil']"
113,Spicy Black Bean Tacos,"['8 taco shells', '200 g black beans', '50 g salsa', '50 g shredded lettuce']","['Heat black beans and fill taco shells.', 'Top with salsa and shredded lettuce.', 'Serve immediately.']",,Generated,"['taco shells', 'black beans', 'salsa', 'lettuce']"
114,Carrot Cake Energy Balls,"['100 g oats', '50 g grated carrots', '20 g honey', '10 g raisins']","['Mix oats, grated carrots, honey, and raisins.', 'Roll into balls and chill before serving.', 'Store in the fridge.']",,Generated,"['oats', 'carrots', 'honey', 'raisins']"
115,Green Smoothie,"['1 banana', '100 g spinach', '200 ml almond milk', '10 g chia seeds']","['Blend banana, spinach, almond milk, and chia seeds until smooth.', 'Serve immediately.']",,Generated,"['banana', 'spinach', 'almond milk', 'chia seeds']"
116,Stuffed Zucchini Boats,"['2 zucchinis', '200 g ground turkey', '50 g tomato sauce', '50 g shredded cheese']","['Cut zucchinis in half and scoop out the center.', 'Fill with ground turkey and tomato sauce, and top with shredded cheese.', 'Bake at 180°C for 25 minutes.']",,Generated,"['zucchini', 'turkey', 'tomato sauce', 'cheese']"
117,Peanut Butter Chocolate Smoothie,"['1 banana', '30 g peanut butter', '200 ml milk', '10 g cocoa powder']","['Blend banana, peanut butter, milk, and cocoa powder until smooth.', 'Serve chilled.']",,Generated,"['banana', 'peanut butter', 'milk', 'cocoa powder']"
118,Lemon Dill Salmon,"['4 salmon fillets', '10 g dill', '20 ml lemon juice', '30 ml olive oil']","['Marinate salmon in dill, lemon juice, and olive oil for 15 minutes.', 'Bake at 180°C for 20 minutes.', 'Serve with a side of vegetables.']",,Generated,"['salmon', 'dill', 'lemon juice', 'olive oil']"
119,Chocolate Avocado Pudding,"['2 ripe avocados', '50 g cocoa powder', '50 g honey', '100 ml almond milk']","['Blend avocados, cocoa powder, honey, and almond milk until smooth.', 'Chill before serving.', 'Garnish with berries if desired.']",,Generated,"['avocados', 'cocoa powder', 'honey', 'almond milk']"
120,Lentil Veggie Burgers,"['200 g lentils', '50 g breadcrumbs', '50 g grated carrots', '10 g garlic']","['Mash cooked lentils and mix with breadcrumbs, grated carrots, and minced garlic.', 'Form into patties and pan-fry until golden.', 'Serve on a bun with toppings.']",,Generated,"['lentils', 'breadcrumbs', 'carrots', 'garlic']"
121,Pineapple Salsa,"['200 g pineapple', '50 g red onion', '10 g cilantro', '10 ml lime juice']","['Dice pineapple and red onion.', 'Mix with chopped cilantro and lime juice.', 'Serve as a topping or dip.']",,Generated,"['pineapple', 'red onion', 'cilantro', 'lime juice']"
122,Herb Roasted Sweet Potatoes,"['500 g sweet potatoes', '10 g rosemary', '30 ml olive oil', '5 g salt']","['Cut sweet potatoes into cubes.', 'Toss with rosemary, olive oil, and salt.', 'Roast at 200°C for 25 minutes.']",,Generated,"['sweet potatoes', 'rosemary', 'olive oil', 'salt']"
123,Zucchini Noodles with Pesto,"['2 zucchinis', '50 g pesto', '10 g Parmesan cheese', '10 ml olive oil']","['Spiralize zucchinis into noodles.', 'Toss with pesto and olive oil.', 'Top with grated Parmesan and serve.']",,Generated,"['zucchini', 'pesto', 'Parmesan', 'olive oil']"
124,Chickpea Curry,"['200 g chickpeas', '50 g curry paste', '400 ml coconut milk', '200 ml vegetable stock']","['Simmer chickpeas in vegetable stock.', 'Stir in curry paste and coconut milk.', 'Cook for 10 minutes and serve with rice.']",,Generated,"['chickpeas', 'curry paste', 'coconut milk', 'vegetable stock']"
125,Berry Yogurt Parfait,"['200 g Greek yogurt', '100 g mixed berries', '50 g granola', '10 g honey']","['Layer Greek yogurt, mixed berries, granola, and honey in a glass.', 'Repeat layers and serve chilled.']",,Generated,"['yogurt', 'berries', 'granola', 'honey']"
126,Baked Eggplant Parmesan,"['2 eggplants', '200 g tomato sauce', '100 g mozzarella', '50 g breadcrumbs']","['Slice eggplants and layer with tomato sauce, mozzarella, and breadcrumbs in a baking dish.', 'Bake at 180°C for 30 minutes until bubbly and golden.', 'Serve warm.']",,Generated,"['eggplants', 'tomato sauce', 'mozzarella', 'breadcrumbs']"
127,Spaghetti Squash Alfredo,"['1 spaghetti squash', '200 ml cream', '50 g Parmesan cheese', '10 g garlic']","['Roast spaghetti squash at 200°C for 40 minutes.', 'Scoop out strands and toss with cream, Parmesan, and garlic.', 'Serve hot.']",,Generated,"['spaghetti squash', 'cream', 'Parmesan', 'garlic']"
128,Cauliflower Buffalo Wings,"['1 head cauliflower', '50 g flour', '50 ml hot sauce', '30 ml olive oil']","['Cut cauliflower into florets.', 'Toss with flour and olive oil, then bake at 200°C for 20 minutes.', 'Coat with hot sauce and bake for another 10 minutes.']",,Generated,"['cauliflower', 'flour', 'hot sauce', 'olive oil']"
129,Lemon Herb Risotto,"['200 g arborio rice', '1 liter vegetable stock', '10 ml lemon juice', '10 g parsley']","['Cook arborio rice in vegetable stock, stirring constantly.', 'Add lemon juice and parsley before serving.', 'Serve warm.']",,Generated,"['arborio rice', 'vegetable stock', 'lemon juice', 'parsley']"
130,Roasted Garlic Hummus,"['200 g canned chickpeas', '50 g tahini', '10 ml lemon juice', '1 head roasted garlic']","['Blend chickpeas, tahini, lemon juice, and roasted garlic until smooth.', 'Serve with pita bread or vegetables.']",,Generated,"['chickpeas', 'tahini', 'lemon juice', 'roasted garlic']"
131,Caprese Salad,"['200 g cherry tomatoes', '100 g mozzarella', '10 g basil', '20 ml balsamic glaze']","['Slice cherry tomatoes and mozzarella.', 'Arrange on a plate and top with basil and balsamic glaze.', 'Serve immediately.']",,Generated,"['tomatoes', 'mozzarella', 'basil', 'balsamic glaze']"
132,Spinach Feta Stuffed Chicken,"['4 chicken breasts', '100 g spinach', '50 g feta cheese', '10 ml olive oil']","['Cut a pocket into each chicken breast.', 'Stuff with spinach and feta mixture and secure with toothpicks.', 'Bake at 180°C for 25 minutes.']",,Generated,"['chicken', 'spinach', 'feta', 'olive oil']"
133,Tomato Lentil Soup,"['200 g red lentils', '1 liter vegetable stock', '200 g diced tomatoes', '10 g cumin']","['Combine lentils, vegetable stock, diced tomatoes, and cumin in a pot.', 'Simmer for 25 minutes and blend partially for a creamy texture.', 'Serve warm.']",,Generated,"['lentils', 'vegetable stock', 'tomatoes', 'cumin']"
134,Zucchini Fritters,"['500 g zucchini', '50 g flour', '1 egg', '5 g salt']","['Grate zucchini and squeeze out excess water.', 'Mix with flour, egg, and salt.', 'Fry spoonfuls in hot oil until golden.', 'Serve warm.']",,Generated,"['zucchini', 'flour', 'egg', 'salt']"
135,Miso Soup,"['1 liter water', '50 g miso paste', '100 g tofu', '10 g seaweed']","['Heat water and dissolve miso paste.', 'Add tofu and seaweed and simmer for 5 minutes.', 'Serve hot.']",,Generated,"['water', 'miso paste', 'tofu', 'seaweed']"
136,Berry Oat Bars,"['200 g oats', '100 g mixed berries', '50 g honey', '50 g butter']","['Mix oats, honey, and melted butter.', 'Press half the mixture into a baking dish and top with berries.', 'Cover with remaining oat mixture and bake at 180°C for 25 minutes.', 'Cool and slice into bars.']",,Generated,"['oats', 'berries', 'honey', 'butter']"
137,Roasted Red Pepper Dip,"['200 g roasted red peppers', '50 g cream cheese', '10 ml lemon juice', '10 g garlic']","['Blend roasted red peppers, cream cheese, lemon juice, and garlic until smooth.', 'Serve with crackers or bread.']",,Generated,"['red peppers', 'cream cheese', 'lemon juice', 'garlic']"
138,Chickpea Avocado Salad,"['200 g canned chickpeas', '1 avocado', '10 ml lemon juice', '10 g cilantro']","['Mash avocado and mix with chickpeas, lemon juice, and chopped cilantro.', 'Serve as a side dish or sandwich filling.']",,Generated,"['chickpeas', 'avocado', 'lemon juice', 'cilantro']"
139,Cauliflower Mash,"['500 g cauliflower', '50 ml cream', '10 g garlic', '5 g salt']","['Boil cauliflower until tender.', 'Blend with cream, garlic, and salt until smooth.', 'Serve as a low-carb side dish.']",,Generated,"['cauliflower', 'cream', 'garlic', 'salt']"
140,Chocolate Chia Pudding,"['200 ml almond milk', '50 g chia seeds', '20 gn  cocoa powder', '20 g honey']","['Mix almond milk, chia seeds, cocoa powder, and honey.', 'Chill for 4 hours, stirring occasionally.', 'Serve chilled.']",,Generated,"['almond milk', 'chia seeds', 'cocoa powder', 'honey']"
141,Sweet Potato Black Bean Tacos,"['4 taco shells', '200 g black beans', '100 g sweet potato', '50 g salsa']","['Roast sweet potato cubes at 200°C for 25 minutes.', 'Fill taco shells with black beans, roasted sweet potatoes, and salsa.', 'Serve immediately.']",,Generated,"['taco shells', 'black beans', 'sweet potato', 'salsa']"
142,Lemon Herb Couscous,"['200 g couscous', '10 g parsley', '10 ml lemon juice', '20 ml olive oil']","['Cook couscous according to package instructions.', 'Toss with parsley, lemon juice, and olive oil.', 'Serve warm or chilled.']",,Generated,"['couscous', 'parsley', 'lemon juice', 'olive oil']"
143,Vegetable Stir-Fry,"['200 g mixed vegetables', '50 ml soy sauce', '10 ml sesame oil', '10 g ginger']","['Heat sesame oil in a pan and sauté ginger.', 'Add mixed vegetables and stir-fry for 5 minutes.', 'Stir in soy sauce and cook for another 2 minutes.', 'Serve over rice or noodles.']",,Generated,"['vegetables', 'soy sauce', 'sesame oil', 'ginger']"
144,Avocado Toast with Egg,"['2 slices bread', '1 avocado', '2 eggs', '10 ml lemon juice']","['Toast bread slices.', 'Mash avocado with lemon juice and spread on toast.', 'Top with fried eggs and serve.']",,Generated,"['bread', 'avocado', 'eggs', 'lemon juice']"
145,Banana Oat Pancakes,"['2 bananas', '100 g oats', '2 eggs', '10 g cinnamon']","['Blend bananas, oats, eggs, and cinnamon into a smooth batter.', 'Cook pancakes on a non-stick skillet until golden.', 'Serve warm with maple syrup.']",,Generated,"['bananas', 'oats', 'eggs', 'cinnamon']"
146,Grilled Vegetable Skewers,"['200 g zucchini', '200 g bell peppers', '100 g mushrooms', '30 ml olive oil']","['Cut vegetables into chunks and toss with olive oil.', 'Thread onto skewers and grill for 10 minutes, turning occasionally.', 'Serve warm.']",,Generated,"['zucchini', 'bell peppers', 'mushrooms', 'olive oil']"
147,Strawberry Spinach Salad,"['100 g spinach', '200 g strawberries', '30 g almonds', '20 ml balsamic dressing']","['Toss spinach, sliced strawberries, and almonds together.', 'Drizzle with balsamic dressing and serve immediately.']",,Generated,"['spinach', 'strawberries', 'almonds', 'balsamic dressing']"
148,Quinoa Breakfast Bowl,"['200 g quinoa', '1 banana', '30 g almonds', '10 g honey']","['Cook quinoa and let cool slightly.', 'Top with sliced banana, almonds, and a drizzle of honey.', 'Serve as a healthy breakfast.']",,Generated,"['quinoa', 'banana', 'almonds', 'honey']"
149,Lentil Spinach Curry,"['200 g lentils', '100 g spinach', '400 ml coconut milk', '50 g curry paste']","['Cook lentils in water until tender.', 'Stir in curry paste, coconut milk, and spinach.', 'Simmer for 10 minutes and serve with rice.']",,Generated,"['lentils', 'spinach', 'coconut milk', 'curry paste']"
150,Mediterranean Pasta Salad,"['200 g pasta', '50 g cherry tomatoes', '50 g olives', '30 g feta cheese']","['Cook pasta and cool.', 'Mix with cherry tomatoes, olives, and crumbled feta cheese.', 'Toss with olive oil and serve chilled.']",,Generated,"['pasta', 'cherry tomatoes', 'olives', 'feta cheese']"
151,Pineapple Sandwich,"['2 slices of white bread', '4 pineapple rings (canned or fresh)', '2 tbsp mayonnaise', 'Salt to taste']","['Spread 1 tbsp of mayonnaise evenly on each slice of bread.', 'Place a pineapple ring on two slices of bread.', 'Sprinkle with a pinch of salt if desired.', 'Top with the remaining slices of bread to form sandwiches.']",https://www.southernliving.com/pineapple-sandwich-7481179,Gathered,"['bread', 'pineapple', 'mayonnaise', 'salt']"
152,Pineapple Fluff,"['1 can (20 oz) crushed pineapple, drained', '1 package (3.4 oz) instant vanilla pudding mix', '2 cups whipped topping', '1 cup mini marshmallows', '1/2 cup chopped pecans']","['In a large bowl, combine the drained crushed pineapple and instant vanilla pudding mix.', 'Fold in the whipped topping until well blended.', 'Stir in the mini marshmallows and chopped pecans.', 'Refrigerate for at least 1 hour before serving.']",https://www.southernliving.com/pineapple-fluff-7505864,Gathered,"['pineapple', 'vanilla pudding', 'whipped topping', 'marshmallows', 'pecans']"
153,Waffled Pizza Dippers,"['1 tube (13.8 oz) refrigerated pizza dough', '1/2 cup pizza sauce', '1 cup shredded mozzarella cheese', '1/2 cup sliced pepperoni (optional)', '1/4 cup melted butter', '1/2 tsp garlic powder', '1/2 tsp Italian seasoning']","['Preheat a waffle iron and lightly grease it.', 'Roll out the pizza dough and cut it into 4 equal rectangles.', 'Spread pizza sauce on half of each rectangle, leaving a small border.', 'Sprinkle with mozzarella cheese and add pepperoni if using.', 'Fold the dough over and seal the edges by pressing with a fork.', 'Brush the tops with melted butter mixed with garlic powder and Italian seasoning.', 'Place one filled dough rectangle in the waffle iron and cook until golden brown.', 'Repeat with the remaining dough rectangles.', 'Cut into strips and serve with extra pizza sauce for dipping.']",https://www.food.com/recipe/waffled-pizza-dippers-242694,Gathered,"['pizza dough', 'pizza sauce', 'mozzarella cheese', 'pepperoni', 'butter', 'garlic powder', 'Italian seasoning']"
154,Fried Twinkies,"['6 Twinkies', '6 wooden skewers', '4 cups vegetable oil (for frying)', '1 cup milk', '2 Tbsp vinegar', '1 Tbsp vegetable oil', '1 cup all-purpose flour', '1 tsp baking powder', '1/2 tsp salt', 'Powdered sugar (for dusting)']","['Insert wooden skewers into the Twinkies and freeze them for at least 2 hours.', 'Heat vegetable oil in a deep fryer or large pot to 375°F (190°C).', 'In a bowl, mix milk, vinegar, and 1 Tbsp vegetable oil; let sit for 5 minutes.', 'Combine flour, baking powder, and salt in another bowl.', 'Gradually whisk the dry ingredients into the wet ingredients until smooth.', 'Dip each frozen Twinkie into the batter, coating it completely.', 'Carefully lower the Twinkies into the hot oil and fry until golden brown, about 2-3 minutes.', 'Remove and drain on paper towels.', 'Dust with powdered sugar before serving.']",https://www.food.com/recipe/fried-twinkies-41317,Gathered,"['Twinkies', 'vegetable oil', 'milk', 'vinegar', 'flour', 'baking powder', 'salt', 'powdered sugar']"
155,Fried Milk,"['2 cups milk', '1/2 cup cornstarch', '1/4 cup sugar', '1/2 tsp vanilla extract', '1 cup all-purpose flour', '2 eggs, beaten', '1 cup breadcrumbs', 'Vegetable oil (for frying)', 'Powdered sugar (for dusting, optional)']","['In a saucepan, combine milk, cornstarch, sugar, and vanilla extract over medium heat.', 'Cook while stirring constantly until the mixture thickens and becomes smooth.', 'Pour the mixture into a greased square dish and refrigerate for at least 2 hours, or until firm.', 'Cut the chilled milk mixture into small squares or rectangles.', 'Prepare three bowls for coating: one with flour, one with beaten eggs, and one with breadcrumbs.', 'Coat each piece of milk first in flour, then in egg, and finally in breadcrumbs.', 'Heat vegetable oil in a deep fryer or large skillet to 350°F (175°C).', 'Fry the coated milk pieces until golden brown, about 2-3 minutes.', 'Drain on paper towels and dust with powdered sugar if desired before serving.']",https://www.food.com/recipe/fried-milk-104484,Gathered,"['milk', 'cornstarch', 'sugar', 'vanilla', 'flour', 'eggs', 'breadcrumbs', 'vegetable oil', 'powdered sugar']"
